id,filename,format,sample_rate,baud_rate,sps,modulation,fec_type,interleaver_depth,cfo_hz,snr_db,payload_type,payload_len_bytes,payload_ascii,payload_hex
IQ_001,capture_001.iq,iq,250000.0,50000.0,5.0,QPSK,CONV,1,-200.74,31.31,PLAINTEXT,95,ACARS_AERODROME_FLIGHT_IX204: POSITION_LAT_28.6139_LON_77.2090_ALT_34000FT_SPEED_480KTS_PKT_001,41434152535f4145524f44524f4d455f464c494748545f49583230343a20504f534954494f4e5f4c41545f32382e363133395f4c4f4e5f37372e323039305f414c545f333430303046545f53504545445f3438304b54535f504b545f303031
IQ_002,capture_002.iq,iq,500000.0,50000.0,10.0,8PSK,"RS(255,223)",8,-89.69,28.57,PLAINTEXT,219,COSPAS_SARSAT_EMERGENCY_LOCATOR_HEX_A3F982B001: LAT_12.9716_LON_77.5946_STATUS_ACTIVECOSPAS_SARSAT_EMERGENCY_LOCATOR_HEX_A3F982B001: LAT_12.9716_LON_77.5946_STATUS_ACTIVECOSPAS_SARSAT_EMERGENCY_LOCATOR_HEX_A3F982B001: L,434f535041535f5341525341545f454d455247454e43595f4c4f4341544f525f4845585f413346393832423030313a204c41545f31322e393731365f4c4f4e5f37372e353934365f5354415455535f414354495645434f535041535f5341525341545f454d455247454e43595f4c4f4341544f525f4845585f413346393832423030313a204c41545f31322e393731365f4c4f4e5f37372e353934365f5354415455535f414354495645434f535041535f5341525341545f454d455247454e43595f4c4f4341544f525f4845585f413346393832423030313a204c
IQ_003,capture_003.iq,iq,200000.0,50000.0,4.0,16-QAM,"CONV+RS(255,223)",16,-423.88,27.26,PLAINTEXT,245,AIS_MARINE_SURVEILLANCE_MMSI_419000888: COURSE_270_SPEED_14_2KTS_CARGO_CONTAINER_VESSELAIS_MARINE_SURVEILLANCE_MMSI_419000888: COURSE_270_SPEED_14_2KTS_CARGO_CONTAINER_VESSELAIS_MARINE_SURVEILLANCE_MMSI_419000888: COURSE_270_SPEED_14_2KTS_CARGO_,4149535f4d4152494e455f5355525645494c4c414e43455f4d4d53495f3431393030303838383a20434f555253455f3237305f53504545445f31345f324b54535f434152474f5f434f4e5441494e45525f56455353454c4149535f4d4152494e455f5355525645494c4c414e43455f4d4d53495f3431393030303838383a20434f555253455f3237305f53504545445f31345f324b54535f434152474f5f434f4e5441494e45525f56455353454c4149535f4d4152494e455f5355525645494c4c414e43455f4d4d53495f3431393030303838383a20434f555253455f3237305f53504545445f31345f324b54535f434152474f5f
IQ_004,capture_004.iq,iq,250000.0,50000.0,5.0,BPSK,LDPC,1,-627.62,29.99,ENCRYPTED,64,,ba749a2d637ae141b80b01dfeffb6a96fe9c0bf68b15424cb1c886388ba8605b51a423d763d7fe4caf31806cb1cb03f41262edc96f71da10fe124b6834a852e8
IQ_005,capture_005.iq,iq,500000.0,50000.0,10.0,QPSK,NONE,1,63.18,19.65,PLAINTEXT,91,TELEMETRY_SUBSYSTEM_HK_PACKET_99: BATTERY_V_28_4_SOLAR_PWR_145W_CPU_TEMP_42C_BUS_OK_PKT_005,54454c454d455452595f53554253595354454d5f484b5f5041434b45545f39393a20424154544552595f565f32385f345f534f4c41525f5057525f313435575f4350555f54454d505f3432435f4255535f4f4b5f504b545f303035
IQ_006,capture_006.iq,iq,200000.0,50000.0,4.0,8PSK,CONV,1,331.35,24.7,PLAINTEXT,91,RADAR_TRACK_REPORT_AZ_045_EL_12_RNG_85KM: DOPPLER_FREQ_SHIFT_320HZ_CONFIRM_FRIENDLY_PKT_006,52414441525f545241434b5f5245504f52545f415a5f3034355f454c5f31325f524e475f38354b4d3a20444f50504c45525f465245515f53484946545f333230485a5f434f4e4649524d5f465249454e444c595f504b545f303036
IQ_007,capture_007.iq,iq,250000.0,50000.0,5.0,16-QAM,"RS(255,223)",16,-55.94,28.27,PLAINTEXT,219,GROUND_STATION_TELEMETRY_LINK_SYNC: FRAME_SEQ_10482_RSSI_NEG72DBM_SNR_24DB_LOCK_OKGROUND_STATION_TELEMETRY_LINK_SYNC: FRAME_SEQ_10482_RSSI_NEG72DBM_SNR_24DB_LOCK_OKGROUND_STATION_TELEMETRY_LINK_SYNC: FRAME_SEQ_10482_RSS,47524f554e445f53544154494f4e5f54454c454d455452595f4c494e4b5f53594e433a204652414d455f5345515f31303438325f525353495f4e4547373244424d5f534e525f323444425f4c4f434b5f4f4b47524f554e445f53544154494f4e5f54454c454d455452595f4c494e4b5f53594e433a204652414d455f5345515f31303438325f525353495f4e4547373244424d5f534e525f323444425f4c4f434b5f4f4b47524f554e445f53544154494f4e5f54454c454d455452595f4c494e4b5f53594e433a204652414d455f5345515f31303438325f525353
IQ_008,capture_008.iq,iq,500000.0,50000.0,10.0,BPSK,"CONV+RS(255,223)",1,-731.5,20.12,ENCRYPTED,64,,d1f5de71fd6408cfebaa67f1d2843b92b76cfda436b0b08b4f88f35ad37c7d1fcdd03c75b2be7b2d707f7bd829058d34c34adf8a8f56b1c09700410c209710b2
IQ_009,capture_009.iq,iq,200000.0,50000.0,4.0,QPSK,LDPC,1,370.45,21.44,PLAINTEXT,92,UHF_SATCOM_DAMA_CHANNEL_BURST: TIME_SLOT_08_BURST_ID_7781_MODULATION_LOCKED_CRC32_OK_PKT_009,5548465f534154434f4d5f44414d415f4348414e4e454c5f42555253543a2054494d455f534c4f545f30385f42555253545f49445f373738315f4d4f44554c4154494f4e5f4c4f434b45445f43524333325f4f4b5f504b545f303039
IQ_010,capture_010.iq,iq,250000.0,50000.0,5.0,8PSK,NONE,1,-163.05,21.4,PLAINTEXT,94,TACTICAL_SITREP_UNIT_ALPHA_7: SECTOR_BRAVO_RECON_COMPLETED_STATUS_GREEN_ALL_SYSTEMS_GO_PKT_010,544143544943414c5f5349545245505f554e49545f414c5048415f373a20534543544f525f425241564f5f5245434f4e5f434f4d504c455445445f5354415455535f475245454e5f414c4c5f53595354454d535f474f5f504b545f303130
